X,Y
6.504860850271575456e-01,7.500047719291024206e-01
6.501684056486429775e-01,7.595224177660419018e-01
6.492480883538083170e-01,7.690026971218539842e-01
6.477275046576240758e-01,7.784059042490303337e-01
6.456123340271530120e-01,7.876946756233602631e-01
6.429104323262466725e-01,7.968316079592535628e-01
6.396324196747549262e-01,8.057798381567913282e-01
6.357917844013765141e-01,8.145031955912626076e-01
6.314047515893919105e-01,8.229663958399184853e-01
6.264899900821808698e-01,8.311352391684834195e-01
6.210682745209445965e-01,8.389767843234832156e-01
6.151621911523189601e-01,8.464594878125693000e-01
6.087959280048778066e-01,8.535533143390661159e-01
6.019951559924503481e-01,8.602298300825239608e-01
5.947869888701932117e-01,8.664622898237339665e-01
5.871999955617404066e-01,8.722257251392964150e-01
5.792642254338604690e-01,8.774970360722100793e-01
5.710112040185639781e-01,8.822550842465488596e-01
5.624738705321861154e-01,8.864807828502002662e-01
5.536864535784427055e-01,8.901571790098288250e-01
5.446843027813776938e-01,8.932695260092593514e-01
5.355037014180571431e-01,8.958053448790728179e-01
5.261816796718168376e-01,8.977544759802065233e-01
5.167558378883199133e-01,8.991091212706415758e-01
5.072641809104252442e-01,8.998638775266480927e-01
4.977449604415233875e-01,9.000157603748377699e-01
4.882365215901583455e-01,8.995642187707694193e-01
4.787771506262084031e-01,8.985111395152491909e-01
4.694049223113789804e-01,8.968608414480876423e-01
4.601575463783044162e-01,8.946200590393402763e-01
4.510722136752369771e-01,8.917979151886006317e-01
4.421854432103644594e-01,8.884058831601437944e-01
4.335329318698714629e-01,8.844577377547623298e-01
4.251494089585107772e-01,8.799694960812118882e-01
4.170684978251341102e-01,8.749593486431950229e-01
4.093225865372133176e-01,8.694475818544709078e-01
4.019427086796187321e-01,8.634564934040447337e-01
3.949584338192126953e-01,8.570103019142770728e-01
3.883977652282970539e-01,8.501350518569856796e-01
3.822870406970934054e-01,8.428585136324918681e-01
3.766508315797290063e-01,8.352100772746107182e-01
3.715118363601308538e-01,8.272206369506689416e-01
3.668907680738441313e-01,8.189224629699172198e-01
3.628062390099392465e-01,8.103490588893538238e-01
3.592746497596503996e-01,8.015350034965531556e-01
3.563100915952999159e-01,7.925157804266188544e-01
3.539242709500480810e-01,7.833276012083925099e-01
3.521264628666491703e-01,7.740072300255227411e-01
3.509234973148377401e-01,7.645918199439960539e-01
3.503197783613605232e-01,7.551187701197865643e-01
3.503173309232435750e-01,7.456256105810434853e-01
3.509158632182197701e-01,7.361499140302050215e-01
3.521128270691958884e-01,7.267292229778445911e-01
3.539034563549959822e-01,7.174009730890669179e-01
3.562807708110578009e-01,7.082023870429293710e-01
3.592355483000491123e-01,6.991703237967428208e-01
3.627562866496366611e-01,6.903410878065456835e-01
3.668291857240727483e-01,6.817502234099845904e-01
3.714381746600987633e-01,6.734323281800083105e-01
3.765649908550937064e-01,6.654209096805000501e-01
3.821892966875777287e-01,6.577482880993541503e-01
3.882888078108027718e-01,6.504455252015031164e-01
3.948394081737018890e-01,6.435423494366723229e-01
4.018152393001188649e-01,6.370670522143422332e-01
4.091887672659615949e-01,6.310463469269269599e-01
4.169308420176861540e-01,6.255052002870146177e-01
4.250107657929364513e-01,6.204666557758906631e-01
4.333963818176110872e-01,6.159516685463978236e-01
4.420541862442100012e-01,6.119789637484229772e-01
4.509494601833624605e-01,6.085649221759266148e-01
4.600464164069778539e-01,6.057234924167455015e-01
4.693083558749414075e-01,6.034661276700159505e-01
4.786978307477668393e-01,6.018017461979124905e-01
4.881768116748931297e-01,6.007367150476548012e-01
4.977068575638395886e-01,6.002748563360662537e-01
5.072492860325731323e-01,6.004174741812561278e-01
5.167653427348877226e-01,6.011633988938038797e-01
5.262163679530402760e-01,6.025090438705860141e-01
5.355639592763475898e-01,6.044484700974488423e-01
5.447701297064726500e-01,6.069734533668885712e-01
5.537974610338026737e-01,6.100735501921759063e-01
5.626092528300727924e-01,6.137361597437909211e-01
5.711696680831073181e-01,6.179465805614081653e-01
5.794438775565108335e-01,6.226880617838097542e-01
5.873982061620208750e-01,6.279418488326569125e-01
5.950002847879096723e-01,6.336872232853454356e-01
6.022192080402237746e-01,6.399015376242274122e-01
6.090256908240636591e-01,6.465602495240334591e-01
6.153922068123734990e-01,6.536369671343589260e-01
6.212930870277777462e-01,6.611035219702532384e-01
6.267045663617933915e-01,6.689300823345243341e-01
6.316047927460665123e-01,6.770853040782134347e-01
6.359738463029473987e-01,6.855364936989958302e-01
6.397938291356595197e-01,6.942497477656486282e-01
6.430490573044913560e-01,7.031900472704990523e-01
6.457263184529005162e-01,7.123213226638234197e-01
6.478150937964661793e-01,7.216065388158668936e-01
6.493076357213469763e-01,7.310078489950706526e-01
6.501988554716509050e-01,7.404868297275846167e-01
6.504860850271575456e-01,7.500047719291024206e-01
